,genre,mel_spectrogram_path,segment_index,mel_spectrogram_shape,original_audio_path
11,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00049.wav
12,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00022.wav
13,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00022.wav
14,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00022.wav
15,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00022.wav
16,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00022.wav
17,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00022.wav
18,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00065.wav
19,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00065.wav
20,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00065.wav
21,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00065.wav
22,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00065.wav
23,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00065.wav
24,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00055.wav
25,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00055.wav
26,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00055.wav
27,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00055.wav
28,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00055.wav
29,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00055.wav
30,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00071.wav
31,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00071.wav
32,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00071.wav
33,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00071.wav
34,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00071.wav
35,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00071.wav
36,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00073.wav
37,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00073.wav
38,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00073.wav
39,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00073.wav
40,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00073.wav
41,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00073.wav
42,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00062.wav
43,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00062.wav
44,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00062.wav
45,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00062.wav
46,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00062.wav
47,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00062.wav
48,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00026.wav
49,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00026.wav
50,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00026.wav
51,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00026.wav
52,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00026.wav
53,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00026.wav
54,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00023.wav
55,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00023.wav
56,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00023.wav
57,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00023.wav
58,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00023.wav
59,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00023.wav
60,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00096.wav
61,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00096.wav
62,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00096.wav
63,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00096.wav
64,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00096.wav
65,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00096.wav
66,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00044.wav
67,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00044.wav
68,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00044.wav
69,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00044.wav
70,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00044.wav
71,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00044.wav
72,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00025.wav
73,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00025.wav
74,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00025.wav
75,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00025.wav
76,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00025.wav
77,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00025.wav
78,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00069.wav
79,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00069.wav
80,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00069.wav
81,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00069.wav
82,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00069.wav
83,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00069.wav
84,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00077.wav
85,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00077.wav
86,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00077.wav
87,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00077.wav
88,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00077.wav
89,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00077.wav
90,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00061.wav
91,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00061.wav
92,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00061.wav
93,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00061.wav
94,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00061.wav
95,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00061.wav
96,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00094.wav
97,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00094.wav
98,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00094.wav
99,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00094.wav
100,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00094.wav
101,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00094.wav
102,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00083.wav
103,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00083.wav
104,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00083.wav
105,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_4.npy,4,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00083.wav
106,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_5.npy,5,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00083.wav
107,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_6.npy,6,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00083.wav
108,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_1.npy,1,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00005.wav
109,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_2.npy,2,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00005.wav
110,hiphop,/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/Processed_Audio/hiphop_segment_3.npy,3,"(128, 216)",/home/trfar/Documents/Advanced Machine Learning/GTZAN_Dataset/genres_original/hiphop/hiphop.00005.wav
